masse_A
t;x;y
9,157966667E0;-1,819998233E-2;1,878713040E-2
9,174622222E0;-1,823463030E-2;1,879417861E-2
9,191288889E0;-1,826507830E-2;1,879807773E-2
9,207977778E0;-1,828314126E-2;1,879623408E-2
9,224622222E0;-1,828835381E-2;1,880213478E-2
9,241277778E0;-1,830653330E-2;1,878967615E-2
9,257966667E0;-1,828337563E-2;1,888129705E-2
9,274611111E0;-1,819082043E-2;1,887965951E-2
9,291266667E0;-1,839223589E-2;1,907791280E-2
9,307933333E0;-1,818998125E-2;1,898864629E-2
9,324600000E0;-1,830472686E-2;1,894736903E-2
9,341255556E0;-1,829598659E-2;1,892732413E-2
9,357922222E0;-1,829966241E-2;1,895943056E-2
9,374577778E0;-1,828341011E-2;1,898355291E-2
9,391233333E0;-1,828420962E-2;1,899290099E-2
9,407911111E0;-1,830587089E-2;1,897523565E-2
9,424566667E0;-1,834257594E-2;1,896628095E-2
9,441244444E0;-1,837308173E-2;1,897821821E-2
9,457888889E0;-1,838896555E-2;1,898711309E-2
9,474566667E0;-1,838825315E-2;1,898814216E-2
9,491222222E0;-1,839579463E-2;1,898354710E-2
9,507877778E0;-1,840305513E-2;1,898276267E-2
9,524555556E0;-1,841081248E-2;1,898078530E-2
9,541222222E0;-1,843424808E-2;1,898350881E-2
9,557866667E0;-1,841554381E-2;1,898211948E-2
9,574533333E0;-1,845276610E-2;1,898689702E-2
9,591222222E0;-1,857291123E-2;1,897412007E-2
9,607855556E0;-1,858516777E-2;1,897692291E-2
9,624533333E0;-1,858925088E-2;1,897744493E-2
9,641188889E0;-1,860156455E-2;1,898264529E-2
9,657833333E0;-1,860275062E-2;1,899372174E-2
9,674511111E0;-1,860076919E-2;1,899159551E-2
9,691166667E0;-1,860881913E-2;1,899102815E-2
9,707844444E0;-1,860781926E-2;1,899049601E-2
9,724500000E0;-1,870138498E-2;1,898555185E-2
9,741155556E0;-1,868982015E-2;1,898583274E-2
9,757822222E0;-1,868884783E-2;1,899119955E-2
9,774500000E0;-1,870539243E-2;1,898701612E-2
9,791155556E0;-1,871513778E-2;1,898789578E-2
9,807822222E0;-1,873387628E-2;1,898333861E-2
9,824477778E0;-1,880872762E-2;1,897160276E-2
9,841144444E0;-1,890337875E-2;1,891453234E-2
9,857788889E0;-1,889635003E-2;1,889672199E-2
9,874466667E0;-1,892503289E-2;1,889052508E-2
9,891122222E0;-1,891949055E-2;1,889774057E-2
9,907788889E0;-1,891701064E-2;1,889164593E-2
9,924444444E0;-1,892993347E-2;1,887917275E-2
9,941111111E0;-1,899437975E-2;1,887830522E-2
9,957766667E0;-1,903513123E-2;1,885867849E-2
9,974444444E0;-1,902768644E-2;1,886993954E-2
9,991088889E0;-1,902807055E-2;1,887224884E-2
1,000776667E1;-1,904539328E-2;1,887364964E-2
1,002442222E1;-1,902926270E-2;1,888576866E-2
1,004108889E1;-1,902020709E-2;1,888731415E-2
1,005774444E1;-1,902073493E-2;1,888420437E-2
1,007441111E1;-1,912686078E-2;1,885117743E-2
1,009106667E1;-1,932607404E-2;1,888234020E-2
1,010773333E1;-1,923799828E-2;1,885470920E-2
1,012446667E1;-1,922735267E-2;1,887247603E-2
1,014106667E1;-1,924638699E-2;1,888855510E-2
1,015777778E1;-1,923851965E-2;1,888209630E-2
1,017438889E1;-1,926410197E-2;1,886147368E-2
1,019116667E1;-1,931876368E-2;1,887755186E-2
1,020772222E1;-1,931422795E-2;1,888403410E-2
1,022437778E1;-1,932468601E-2;1,888294515E-2
1,024104444E1;-1,935974251E-2;1,887679456E-2
1,025768889E1;-1,935669087E-2;1,887643411E-2
1,027436667E1;-1,934850515E-2;1,887801903E-2
1,029101111E1;-1,940289362E-2;1,888274211E-2
1,030768889E1;-1,942394533E-2;1,888300954E-2
1,032435556E1;-1,943923906E-2;1,887682632E-2
1,034101111E1;-1,944849871E-2;1,887539892E-2
1,035767778E1;-1,945196969E-2;1,887455987E-2
1,037433333E1;-1,945433782E-2;1,887884472E-2
1,039101111E1;-1,945796740E-2;1,887415518E-2
1,040766667E1;-1,945607256E-2;1,888013186E-2
1,042435556E1;-1,945264164E-2;1,887840477E-2
1,044098889E1;-1,948105454E-2;1,887119185E-2
1,045765556E1;-1,949392456E-2;1,888257546E-2
1,047432222E1;-1,951216754E-2;1,888216778E-2
1,049097778E1;-1,964426544E-2;1,884666675E-2
1,050781111E1;-1,979316872E-2;1,876257273E-2
1,052430000E1;-1,985887906E-2;1,869363249E-2
1,054096667E1;-1,985059329E-2;1,868409785E-2
1,055761111E1;-1,985510942E-2;1,868664516E-2
1,057428889E1;-1,985873108E-2;1,869158144E-2
1,059095556E1;-1,987460087E-2;1,870004116E-2
1,060762222E1;-1,986389776E-2;1,868163563E-2
1,062427778E1;-1,987125496E-2;1,867533332E-2
1,064093333E1;-1,986514428E-2;1,867564373E-2
1,065758889E1;-1,985341593E-2;1,868901078E-2
1,067427778E1;-1,985660671E-2;1,873034267E-2
1,069092222E1;-1,984643564E-2;1,870973463E-2
1,070760000E1;-1,986022381E-2;1,867629771E-2
1,072425556E1;-1,987351366E-2;1,867105666E-2
1,074091111E1;-1,986163412E-2;1,867638458E-2
1,075757778E1;-1,986078628E-2;1,867434868E-2
1,077424444E1;-1,987708712E-2;1,866662172E-2
1,079090000E1;-1,991854055E-2;1,867287633E-2
1,080756667E1;-1,994379339E-2;1,867265715E-2
1,082422222E1;-1,997876844E-2;1,865265650E-2
1,084088889E1;-1,997586125E-2;1,865740158E-2
1,085754444E1;-1,997137222E-2;1,866064362E-2
1,087422222E1;-1,998440641E-2;1,865914263E-2
1,089087778E1;-1,996587170E-2;1,866619153E-2
1,090753333E1;-1,998368277E-2;1,866435744E-2
1,092420000E1;-1,998329030E-2;1,866245962E-2
1,094087778E1;-1,997794904E-2;1,866274022E-2
1,095752222E1;-1,999930249E-2;1,865679218E-2
1,097418889E1;-1,998132876E-2;1,866138933E-2
1,099085556E1;-2,001854096E-2;1,866219023E-2
1,100751111E1;-2,015683105E-2;1,859611387E-2
1,102417778E1;-2,017040500E-2;1,856438704E-2
1,104084444E1;-2,017195508E-2;1,856837075E-2
1,105750000E1;-2,016302482E-2;1,856179347E-2
1,107416667E1;-2,009490179E-2;1,853805442E-2
1,109083333E1;-2,016024407E-2;1,850469211E-2
1,110748889E1;-2,017973209E-2;1,848919190E-2
1,112415556E1;-2,016887185E-2;1,846979331E-2
1,114082222E1;-2,017000421E-2;1,846753230E-2
1,115747778E1;-2,018078582E-2;1,846360981E-2
1,117414444E1;-2,017710345E-2;1,846574765E-2
1,119080000E1;-2,017557300E-2;1,846676608E-2
1,120748889E1;-2,017858192E-2;1,846729495E-2
1,122412222E1;-2,017981068E-2;1,846508167E-2
1,124080000E1;-2,018026422E-2;1,846191041E-2
1,125744444E1;-2,025535912E-2;1,844580294E-2
1,127412222E1;-2,026995636E-2;1,845377773E-2
1,129077778E1;-2,027364177E-2;1,845955639E-2
1,130744444E1;-2,028333189E-2;1,845852137E-2
1,132410000E1;-2,031590950E-2;1,842495941E-2
1,134076667E1;-2,045275274E-2;1,844033024E-2
1,135742222E1;-2,040994428E-2;1,844432714E-2
1,137410000E1;-2,038330632E-2;1,845654231E-2
1,139075556E1;-2,040030555E-2;1,845897441E-2
1,140741111E1;-2,041673770E-2;1,845758563E-2
1,142410000E1;-2,039331516E-2;1,846054188E-2
1,144074444E1;-2,038666833E-2;1,846196881E-2
1,145740000E1;-2,039701453E-2;1,846729351E-2
1,147406667E1;-2,038746284E-2;1,846557418E-2
1,149073333E1;-2,039120425E-2;1,846163860E-2
1,150738889E1;-2,039097228E-2;1,846037814E-2
1,152405556E1;-2,038737591E-2;1,846202356E-2
1,154071111E1;-2,040286229E-2;1,846107322E-2
1,155737778E1;-2,039192349E-2;1,846501518E-2
1,157405556E1;-2,039062920E-2;1,846538232E-2
1,159070000E1;-2,038828459E-2;1,846557041E-2
1,160737778E1;-2,039207105E-2;1,846403106E-2
1,162404444E1;-2,038653634E-2;1,846593971E-2
1,164068889E1;-2,038639123E-2;1,846533333E-2
1,165735556E1;-2,039255643E-2;1,846912072E-2
1,167402222E1;-2,039287975E-2;1,846106369E-2
1,169067778E1;-2,038673482E-2;1,847031614E-2
1,170735556E1;-2,032385004E-2;1,842279139E-2
1,172401111E1;-2,048977864E-2;1,834577499E-2
1,174065556E1;-2,060922916E-2;1,825463621E-2
1,175733333E1;-2,060873804E-2;1,823700517E-2
1,177400000E1;-2,060066423E-2;1,824471484E-2
1,179066667E1;-2,059523673E-2;1,825538527E-2
1,180732222E1;-2,059784897E-2;1,825779853E-2
1,182398889E1;-2,059410300E-2;1,825521927E-2
1,184064444E1;-2,060115261E-2;1,824924764E-2
1,185731111E1;-2,059937589E-2;1,825144247E-2
1,187397778E1;-2,059569537E-2;1,825395466E-2
1,189063333E1;-2,059492498E-2;1,825508084E-2
1,190730000E1;-2,059863087E-2;1,825147385E-2
1,192396667E1;-2,059790349E-2;1,825367591E-2
1,194061111E1;-2,059574469E-2;1,825565955E-2
1,195728889E1;-2,059536600E-2;1,825638226E-2
1,197395556E1;-2,059438050E-2;1,825383548E-2
1,199060000E1;-2,059639901E-2;1,825545383E-2
1,200727778E1;-2,060532525E-2;1,824658185E-2
