masse_A
t;x;y
8,553400000E0;-2,321072343E-2;3,928524283E-3
8,570077778E0;-2,320690336E-2;3,938713916E-3
8,586733333E0;-2,320665731E-2;3,943626786E-3
8,603388889E0;-2,320378425E-2;3,944930464E-3
8,620044444E0;-2,320606001E-2;3,939732904E-3
8,636700000E0;-2,320711303E-2;3,938933538E-3
8,653377778E0;-2,320355536E-2;3,960818854E-3
8,670022222E0;-2,320906851E-2;3,954453342E-3
8,686700000E0;-2,321284870E-2;3,957307101E-3
8,703355556E0;-2,321961120E-2;3,964338717E-3
8,720022222E0;-2,321891439E-2;3,973148476E-3
8,736677778E0;-2,321246505E-2;3,957067204E-3
8,753344444E0;-2,320992971E-2;3,957488666E-3
8,770000000E0;-2,312848034E-2;4,220442403E-3
8,786666667E0;-2,301229081E-2;4,360786009E-3
8,803333333E0;-2,297791794E-2;4,345335124E-3
8,819988889E0;-2,296427099E-2;4,348462965E-3
8,836655556E0;-2,296492575E-2;4,349304432E-3
8,853322222E0;-2,300635486E-2;4,341603597E-3
8,869977778E0;-2,302728890E-2;4,358047448E-3
8,886644444E0;-2,302694365E-2;4,388107405E-3
8,903311111E0;-2,300364504E-2;4,369057531E-3
8,919966667E0;-2,299560539E-2;4,367560450E-3
8,936633333E0;-2,299785300E-2;4,360409337E-3
8,953300000E0;-2,299814328E-2;4,369284614E-3
8,969955556E0;-2,299308792E-2;4,401266512E-3
8,986622222E0;-2,304484971E-2;4,411921532E-3
9,003277778E0;-2,304284393E-2;4,439713806E-3
9,019944444E0;-2,301099178E-2;4,449140872E-3
9,036611111E0;-2,301000559E-2;4,452958647E-3
9,053266667E0;-2,301099402E-2;4,464874855E-3
9,069933333E0;-2,301183903E-2;4,465803047E-3
9,086600000E0;-2,301659426E-2;4,470289432E-3
9,103266667E0;-2,301479093E-2;4,470907113E-3
9,119933333E0;-2,301425377E-2;4,468669663E-3
9,136588889E0;-2,300578934E-2;4,470267023E-3
9,153255556E0;-2,299452456E-2;4,476266573E-3
9,169911111E0;-2,300979700E-2;4,475656343E-3
9,186577778E0;-2,300182286E-2;4,477159402E-3
9,203233333E0;-2,300039108E-2;4,478907583E-3
9,219900000E0;-2,300137715E-2;4,474849240E-3
9,236555556E0;-2,299870407E-2;4,477440594E-3
9,253233333E0;-2,298790331E-2;4,498628343E-3
9,269877778E0;-2,289699915E-2;4,675813033E-3
9,286544444E0;-2,292450734E-2;4,665551415E-3
9,303211111E0;-2,286940715E-2;4,678541231E-3
9,319877778E0;-2,291211278E-2;4,667236460E-3
9,336533333E0;-2,291099307E-2;4,676197590E-3
