masse_A
t;x;y;frame
1,025635556E1;-1,652068584E2;3,700872759E2;6,140000000E2
1,027301111E1;-1,651146391E2;3,700825083E2;6,150000000E2
1,028967778E1;-1,651081766E2;3,701319348E2;6,160000000E2
1,030633333E1;-1,650734601E2;3,701124510E2;6,170000000E2
1,032301111E1;-1,650575293E2;3,701091428E2;6,180000000E2
1,033970000E1;-1,650470584E2;3,702024760E2;6,190000000E2
1,035633333E1;-1,650340439E2;3,701180913E2;6,200000000E2
1,037298889E1;-1,650374761E2;3,701303351E2;6,210000000E2
1,038965556E1;-1,650612192E2;3,702534783E2;6,220000000E2
1,040632222E1;-1,650787250E2;3,702159998E2;6,230000000E2
1,042297778E1;-1,650691805E2;3,701649228E2;6,240000000E2
1,043963333E1;-1,650986061E2;3,702451160E2;6,250000000E2
1,045630000E1;-1,651539950E2;3,703169200E2;6,260000000E2
1,047295556E1;-1,651714432E2;3,703525006E2;6,270000000E2
1,048962222E1;-1,653570960E2;3,703338276E2;6,280000000E2
1,050628889E1;-1,652502495E2;3,702700531E2;6,290000000E2
1,052294444E1;-1,653728251E2;3,701909256E2;6,300000000E2
1,053961111E1;-1,652734885E2;3,703634262E2;6,310000000E2
1,055626667E1;-1,652265534E2;3,702551209E2;6,320000000E2
1,057292222E1;-1,653568995E2;3,702316644E2;6,330000000E2
1,058961111E1;-1,652314660E2;3,701845669E2;6,340000000E2
1,060625556E1;-1,651386718E2;3,701810629E2;6,350000000E2
1,062293333E1;-1,651306987E2;3,702112588E2;6,360000000E2
1,063957778E1;-1,650790098E2;3,701743878E2;6,370000000E2
1,065624444E1;-1,650495221E2;3,701185343E2;6,380000000E2
1,067291111E1;-1,650257828E2;3,700768236E2;6,390000000E2
1,068956667E1;-1,650040107E2;3,700605043E2;6,400000000E2
1,070623333E1;-1,649879745E2;3,700349905E2;6,410000000E2
1,072290000E1;-1,649806265E2;3,700447765E2;6,420000000E2
1,073956667E1;-1,649861107E2;3,701656919E2;6,430000000E2
1,075622222E1;-1,649833820E2;3,701588178E2;6,440000000E2
1,077287778E1;-1,650036994E2;3,702251910E2;6,450000000E2
1,078955556E1;-1,650868878E2;3,702306141E2;6,460000000E2
1,080621111E1;-1,650921184E2;3,703563923E2;6,470000000E2
1,082287778E1;-1,650863189E2;3,704060883E2;6,480000000E2
1,083953333E1;-1,651756352E2;3,701941635E2;6,490000000E2
1,085620000E1;-1,651174389E2;3,703040258E2;6,500000000E2
1,087286667E1;-1,652282199E2;3,702126597E2;6,510000000E2
1,088952222E1;-1,652265787E2;3,702234091E2;6,520000000E2
1,090618889E1;-1,651881282E2;3,701488816E2;6,530000000E2
1,092286667E1;-1,651839620E2;3,701554551E2;6,540000000E2
1,093950000E1;-1,650972952E2;3,701985652E2;6,550000000E2
1,095617778E1;-1,650676646E2;3,701451435E2;6,560000000E2
1,097284444E1;-1,650874260E2;3,702517648E2;6,570000000E2
1,098950000E1;-1,652100533E2;3,701217634E2;6,580000000E2
1,100615556E1;-1,652663145E2;3,701883221E2;6,590000000E2
1,102283333E1;-1,652439995E2;3,702555240E2;6,600000000E2
1,103948889E1;-1,653789622E2;3,700584367E2;6,610000000E2
1,105614444E1;-1,652502829E2;3,700484513E2;6,620000000E2
1,107281111E1;-1,651736392E2;3,701256387E2;6,630000000E2
1,108947778E1;-1,653268200E2;3,699249578E2;6,640000000E2
1,110614444E1;-1,690000000E2;3,750000000E2;6,650000000E2
1,112281111E1;-1,690000000E2;3,720000000E2;6,660000000E2
1,113946667E1;-1,695000000E2;3,745000000E2;6,670000000E2
1,115612222E1;-1,695167960E2;3,745104021E2;6,680000000E2
1,117277778E1;-1,695048059E2;3,745077896E2;6,690000000E2
1,118945556E1;-1,695025472E2;3,745091392E2;6,700000000E2
1,120611111E1;-1,694987941E2;3,744955315E2;6,710000000E2
1,122278889E1;-1,695804011E2;3,745090924E2;6,720000000E2
1,123943333E1;-1,695515552E2;3,745282280E2;6,730000000E2
1,125610000E1;-1,695376002E2;3,745190745E2;6,740000000E2
1,127276667E1;-1,695650660E2;3,745559072E2;6,750000000E2
1,128942222E1;-1,697022897E2;3,745790287E2;6,760000000E2
1,130608889E1;-1,700277506E2;3,746463845E2;6,770000000E2
1,132274444E1;-1,704238526E2;3,746069578E2;6,780000000E2
1,133941111E1;-1,704409335E2;3,746917075E2;6,790000000E2
1,135607778E1;-1,705223757E2;3,746522295E2;6,800000000E2
1,137274444E1;-1,706000983E2;3,746360034E2;6,810000000E2
1,138940000E1;-1,707441801E2;3,747643618E2;6,820000000E2
1,140606667E1;-1,706279937E2;3,746460448E2;6,830000000E2
1,142273333E1;-1,706101790E2;3,745939974E2;6,840000000E2
1,143938889E1;-1,705099281E2;3,745505046E2;6,850000000E2
1,145604444E1;-1,705162190E2;3,745694924E2;6,860000000E2
1,147271111E1;-1,705115512E2;3,745467740E2;6,870000000E2
1,148937778E1;-1,704894479E2;3,745233947E2;6,880000000E2
1,150604444E1;-1,704754838E2;3,744920180E2;6,890000000E2
1,152271111E1;-1,704067048E2;3,744574690E2;6,900000000E2
1,153936667E1;-1,703858697E2;3,744561861E2;6,910000000E2
1,155603333E1;-1,703125041E2;3,744534216E2;6,920000000E2
1,157268889E1;-1,703424820E2;3,744697047E2;6,930000000E2
1,158936667E1;-1,703994802E2;3,745122890E2;6,940000000E2
1,160602222E1;-1,704043208E2;3,745331175E2;6,950000000E2
1,162267778E1;-1,704148402E2;3,745432050E2;6,960000000E2
1,163934444E1;-1,704318545E2;3,746230002E2;6,970000000E2
1,165604444E1;-1,704417703E2;3,745932847E2;6,980000000E2
1,167267778E1;-1,704498200E2;3,745536742E2;6,990000000E2
1,168933333E1;-1,705212382E2;3,745282608E2;7,000000000E2
1,170598889E1;-1,704757328E2;3,745207084E2;7,010000000E2
1,172266667E1;-1,704925896E2;3,745306304E2;7,020000000E2
1,173931111E1;-1,704936798E2;3,745263903E2;7,030000000E2
1,175597778E1;-1,705233236E2;3,746181091E2;7,040000000E2
1,177263333E1;-1,705093111E2;3,746277985E2;7,050000000E2
1,178930000E1;-1,705357751E2;3,745817815E2;7,060000000E2
1,180596667E1;-1,705671034E2;3,746867184E2;7,070000000E2
1,182262222E1;-1,705484124E2;3,746304481E2;7,080000000E2
1,183930000E1;-1,705495616E2;3,747201785E2;7,090000000E2
1,185595556E1;-1,705144700E2;3,745938845E2;7,100000000E2
1,187262222E1;-1,705084730E2;3,745571770E2;7,110000000E2
1,188928889E1;-1,705205130E2;3,745690410E2;7,120000000E2
1,190594444E1;-1,705521067E2;3,746536485E2;7,130000000E2
1,192261111E1;-1,705438927E2;3,746161645E2;7,140000000E2
